What is your cumulative weighted average(CWA) / grade point average(GPA)?,Were you able to increase your CWA/GPA last semester?,Do you have a personal time table?,How many times do you study every week?,Do you always understand what you are taught at lectures?,How often have you been attending lectures?,,Advice
67.5,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
71.75,Yes,No,3-4 days per week,Yes,often,,Aim higher and don't be complacent 
60,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
62.37,Yes,Yes,3-4 days per week,No,often ,,Increase study time and ask for help when facing challenges
56,No,No,1-2 days per week,No,seldom,,Seek for a discipline and serious academic group
59.5,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
67,Yes,Yes,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
76,Yes,Yes,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
64.5,Yes,Yes,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
69.95,Yes,Yes,1-2 days per week,Yes,seldom,,Increase study time and ask for help when facing challenges
70.35,No,No,3-4 days per week,No,often,,Seek for a discipline and serious academic group
66,Yes,No,3-4 days per week,No,often ,,Aim higher and don't be complacent 
67.58,Yes,Yes,4-6 days per week,No,often,,Seek for a discipline and serious academic group
62,Yes,Yes,3-4 days per week,No,often,,Aim higher and don't be complacent 
74.58,Yes,Yes,4-6 days per week,No,often,,Increase study time and ask for help when facing challenges
60,Yes,No,1-2 days per week,No,seldom,,Seek for a discipline and serious academic group
73.5,Yes,No,3-4 days per week,No,often ,,Aim higher and don't be complacent 
67,Yes,Yes,3-4 days per week,No,often ,,Increase study time and ask for help when facing challenges
66.9,Yes,No,3-4 days per week,No,often ,,Increase study time and ask for help when facing challenges
67,Yes,No,3-4 days per week,Yes,often ,,Increase study time and ask for help when facing challenges
67.5,Yes,No,3-4 days per week,Yes,often ,,Increase study time and ask for help when facing challenges
69,Yes,No,1-2 days per week,No,seldom,,Seek for a discipline and serious academic group
64.56,Yes,No,Everyday,No,often,,Increase study time and ask for help when facing challenges
64.57,Yes,No,1-2 days per week,No,seldom,,Aim higher and don't be complacent 
67,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
58,Yes,No,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
58.4,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
66.9,Yes,No,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
72.5,Yes,Yes,Everyday,No,often,,Aim higher and don't be complacent 
65,Yes,No,1-2 days per week,Yes,seldom,,Increase study time and ask for help when facing challenges
69.54,Yes,Yes,Everyday,Yes,often,,Increase study time and ask for help when facing challenges
65,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
58,Yes,No,3-4 days per week,No,often,,Seek for a discipline and serious academic group
62.2,Yes,No,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
64.56,Yes,No,Everyday,No,often,,Increase study time and ask for help when facing challenges
78.9,No,No,3-4 days per week,No,often,,Aim higher and don't be complacent 
65,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
63,Yes,No,1-2 days per week,No,seldom,,Increase study time and ask for help when facing challenges
76,Yes,No,1-2 days per week,No,seldom,,Aim higher and don't be complacent 
77,Yes,Yes,4-6 days per week,No,often,,Aim higher and don't be complacent 
65.7,Yes,No,3-4 days per week,No,often,,Increase study time and ask for help when facing challenges
