What is your cumulative weighted average(CWA) / grade point average(GPA)?,Were you able to increase your CWA/GPA last semester?,Do you have a personal time table?,How many times do you study every week?,Do you always understand what you are taught at lectures?,How often have you been attending lectures?,Advice
67.5,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
71.75,Yes,No,4,Yes,often,Aim higher and don't be complacent 
60,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
62.37,Yes,Yes,4,No,often ,Increase study time and ask for help when facing challenges
56,No,No,2,No,seldom,Seek for a discipline and serious academic group
59.5,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
67,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
76,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
64.5,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
69.95,Yes,Yes,2,Yes,seldom,Increase study time and ask for help when facing challenges
70.35,No,No,4,No,often,Seek for a discipline and serious academic group
66,Yes,No,4,No,often ,Aim higher and don't be complacent 
67.58,Yes,Yes,6,No,often,Seek for a discipline and serious academic group
62,Yes,Yes,4,No,often,Aim higher and don't be complacent 
74.58,Yes,Yes,6,No,often,Increase study time and ask for help when facing challenges
60,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
73.5,Yes,No,4,No,often ,Aim higher and don't be complacent 
67,Yes,Yes,4,No,often ,Increase study time and ask for help when facing challenges
66.9,Yes,No,4,No,often ,Increase study time and ask for help when facing challenges
67,Yes,No,4,Yes,often ,Increase study time and ask for help when facing challenges
67.5,Yes,No,4,Yes,often ,Increase study time and ask for help when facing challenges
69,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
64.56,Yes,No,7,No,often,Increase study time and ask for help when facing challenges
64.57,Yes,No,2,No,seldom,Aim higher and don't be complacent 
67,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
58,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
58.4,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
66.9,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
72.5,Yes,Yes,7,No,often,Aim higher and don't be complacent 
65,Yes,No,2,Yes,seldom,Increase study time and ask for help when facing challenges
69.54,Yes,Yes,7,Yes,often,Increase study time and ask for help when facing challenges
65,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
58,Yes,No,4,No,often,Seek for a discipline and serious academic group
62.2,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
64.56,Yes,No,7,No,often,Increase study time and ask for help when facing challenges
78.9,No,No,4,No,often,Aim higher and don't be complacent 
65,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
63,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
76,Yes,No,2,No,seldom,Aim higher and don't be complacent 
77,Yes,Yes,6,No,often,Aim higher and don't be complacent 
65.7,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
67,Yes,No,4,Yes,often ,Increase study time and ask for help when facing challenges
66,Yes,No,7,Yes,often,Increase study time and ask for help when facing challenges
70,No,Yes,4,Yes,often,Aim higher and don't be complacent 
75.68,Yes,Yes,2,No,seldom,Aim higher and don't be complacent 
61,No,Yes,2,Yes,seldom,Increase study time and ask for help when facing challenges
57,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
50,No,Yes,6,No,often,Seek for a discipline and serious academic group
70,No,Yes,7,No,often,Aim higher and don't be complacent 
65,Yes,No,7,No,often,Increase study time and ask for help when facing challenges
63.78,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
59.5,Yes,No,4,No,often,Seek for a discipline and serious academic group
54.6,Yes,Yes,4,Yes,often,Seek for a discipline and serious academic group
63,Yes,Yes,6,No,often,Seek for a discipline and serious academic group
63,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
52,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
52,No,Yes,6,No,often,Seek for a discipline and serious academic group
58,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
66,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
48,No,No,2,No,seldom,Seek for a discipline and serious academic group
60.23,No,No,2,No,seldom,Increase study time and ask for help when facing challenges
65.8,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
58.92,Yes,Yes,6,No,often,Seek for a discipline and serious academic group
65.45,Yes,No,6,No,often,Increase study time and ask for help when facing challenges
62,No,No,7,No,often,Seek for a discipline and serious academic group
73,Yes,Yes,4,No,often,Aim higher and don't be complacent 
70,Yes,Yes,7,Yes,often,Aim higher and don't be complacent 
66,Yes,Yes,2,No,seldom,Seek for a discipline and serious academic group
70,Yes,Yes,6,No,often,Aim higher and don't be complacent 
58,Yes,Yes,2,No,seldom,Seek for a discipline and serious academic group
63.1,Yes,Yes,6,No,often,Increase study time and ask for help when facing challenges
63.1,Yes,Yes,6,No,often,Increase study time and ask for help when facing challenges
70.34,Yes,Yes,7,No,often,Increase study time and ask for help when facing challenges
66,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
70.34,Yes,Yes,7,No,often,Increase study time and ask for help when facing challenges
66,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
61.51,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
73.86,Yes,Yes,7,No,often,Aim higher and don't be complacent 
68,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
50,No,Yes,7,No,often,Seek for a discipline and serious academic group
58,Yes,Yes,7,No,often,Seek for a discipline and serious academic group
74.65,No,Yes,7,Yes,often,Aim higher and don't be complacent 
70.71,Yes,Yes,6,Yes,often,Aim higher and don't be complacent 
60.5,No,No,4,No,often,Increase study time and ask for help when facing challenges
68,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
60,Yes,Yes,7,No,often,Increase study time and ask for help when facing challenges
62.34,Yes,Yes,6,No,often,Seek for a discipline and serious academic group
56.99,Yes,Yes,7,No,often,Seek for a discipline and serious academic group
68,Yes,No,2,Yes,seldom,Increase study time and ask for help when facing challenges
74,Yes,No,7,Yes,often,Aim higher and don't be complacent 
72,Yes,Yes,6,No,often,Aim higher and don't be complacent 
69,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
63,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
56,No,Yes,4,No,often,Seek for a discipline and serious academic group
68,Yes,No,6,No,often,Increase study time and ask for help when facing challenges
75,Yes,Yes,6,No,often,Aim higher and don't be complacent 
60.2,No,Yes,4,Yes,often,Increase study time and ask for help when facing challenges
62,No,No,2,Yes,seldom,Increase study time and ask for help when facing challenges
59,No,Yes,2,Yes,seldom,Seek for a discipline and serious academic group
50,No,Yes,2,Yes,seldom,Seek for a discipline and serious academic group
79,Yes,Yes,2,No,seldom,Aim higher and don't be complacent 
65,Yes,No,7,No,often,Increase study time and ask for help when facing challenges
62,Yes,Yes,6,Yes,often,Increase study time and ask for help when facing challenges
61,Yes,Yes,7,Yes,often,Increase study time and ask for help when facing challenges
71,Yes,No,4,No,often,Aim higher and don't be complacent 
45,No,No,2,No,seldom,Seek for a discipline and serious academic group
61.51,Yes,Yes,7,No,often,Increase study time and ask for help when facing challenges
59,No,Yes,6,No,often,Seek for a discipline and serious academic group
61,Yes,No,6,No,often,Increase study time and ask for help when facing challenges
66,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
67,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
77.68,No,Yes,7,Yes,often,Aim higher and don't be complacent 
62,No,No,7,No,often,Increase study time and ask for help when facing challenges
68,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
74,Yes,No,4,No,often,Aim higher and don't be complacent 
78,Yes,No,4,No,often,Aim higher and don't be complacent 
64.1,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
86.54,Yes,No,7,No,often,Aim higher and don't be complacent 
64,Yes,No,7,No,often,Increase study time and ask for help when facing challenges
68.9,Yes,No,2,Yes,seldom,Increase study time and ask for help when facing challenges
67,Yes,No,2,No,seldom,Increase study time and ask for help when facing challenges
73,Yes,No,2,No,seldom,Aim higher and don't be complacent 
70,Yes,Yes,7,Yes,often,Aim higher and don't be complacent 
75,No,No,7,No,often,Aim higher and don't be complacent 
68,No,Yes,7,No,often,Increase study time and ask for help when facing challenges
50,No,No,4,No,often,Seek for a discipline and serious academic group
69.12,No,No,2,Yes,seldom,Increase study time and ask for help when facing challenges
57,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
54,Yes,No,2,No,seldom,Seek for a discipline and serious academic group
65,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
60,No,Yes,7,No,often,Increase study time and ask for help when facing challenges
68,Yes,No,4,No,often,Increase study time and ask for help when facing challenges
61,Yes,Yes,6,No,often,Increase study time and ask for help when facing challenges
61,Yes,Yes,6,No,often,Increase study time and ask for help when facing challenges
62.37,Yes,Yes,4,No,often,Increase study time and ask for help when facing challenges
